Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
MAS MARCHÉ AUX SACS;Maroquinerie;;;;;44270;;PAULX;;44119;46.93823;-1.80864;;;06 26 47 37 60;;masmaroquinerie@hotmail.com;https://www.masmaroquinerie.fr/;https://youtu.be/COo6BjrzhHE;;Facebook||https://www.facebook.com/lemarcheauxsacs/?ref=page_internal;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;non;;;||https://wecandoo.fr/atelier/nantes-perrine-cuir-ceinture?fbclid=IwAR1Bp3CbtGVYeveW6zAiY-DYAlMv7skqslTvWJI2uGBs8AsMoL7Fom4a5JE||||||;oui;;;;46.93823,-1.80864;Loire-Atlantique
LE BON MAYENNAIS - VAUBERNIER;;;;;;53470;;MARTIGNE-SUR-MAYENNE;;53146;48.22207;-0.69359;;;02 43 02 50 01;;contact@bonsmayennais.fr;https://www.fromagerievaubernier.com/fr;;;Facebook||https://www.facebook.com/bonsmayennais;;"Agro-alimentaire;Industrie";;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;;48.22207,-0.69359;Mayenne
FERME DE TOUT JOLY - GAEC DE LA PIE;Fromage et produit laitier;;;;;72140;;ROUEZ;;72256;48.139449;-0.114082;;06 10 75 57 18;;;gaecdelapie@tout-joly.fr;http://www.tout-joly.fr/;https://www.youtube.com/watch?v=Ryy41_OUSmY&t=6s;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Ryy41_OUSmY"" frameborder=""0"" allow=""accelerometer;autoplay;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Facebook||https://www.facebook.com/Ferme-de-Tout-Joly-1934488136772582/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;non;oui;oui;;;non;oui;non;oui;non;;Français;non;;;;DROUIN Benoît||06 10 75 57 18||gaecdelapie@tout-joly.fr;;;oui;;;48.139449,-0.114082;Sarthe
SAS BERANGER RIBAUT;Viande;;;;;72460;;SAVIGNE-L'EVEQUE;;72329;48.07743;0.30164;;;;;emmanuel.ribaut@gmail.com;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.07743,0.30164;Sarthe
GAEC CHEVRY;"Fromage et produit laitier;Viande";;;;Chevru - 49270 CHAMPTOCEAUX;49270;;OREE D'ANJOU;;49069;47.3221011;-1.2454833;;06 75 87 54 65;;;fromagerie.chevry@gmail.com;;;;Facebook||https://www.facebook.com/GAEC-Chevry-Fromagerie-1120210734743668/;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;;;non;;;;;non;oui;non;oui;non;non;;non;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||16:00||||19:00||||16:00||||19:00||||16:00||||19:00||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3221011,-1.2454833;Maine-et-Loire
DOMAINE DE L'OLIVIÈRE VEILLE;Vins;;;;L'Olivière Vieille - TILLIERES;49230;;SEVREMOINE;;49301;47.135572;-1.1847559;;;02 41 70 54 47;;gaecdelasauzaie@orange.fr;;;;;;Viticulture;;;;;;;;;"Muscadet;Muscadet Sèvre-et-Maine";;;;;;;;;;;;Français;;;oui;;;;;;;;47.135572,-1.1847559;Maine-et-Loire
PRODUITS BIO - LÉGUMES À LA CHEVRIE;Fruits / légumes;;;;La Chevrie;53470;;COMMER;;53072;48.2377819;-0.6520573;;06 73 02 31 53;;;;;;;Facebook||https://www.facebook.com/guidault.maraichage;;Agro-alimentaire;;;;;;;;;;;;oui;;;;;;;;;;;;;;||06 73 02 31 53||;;;;;;48.2377819,-0.6520573;Mayenne
SOPHIE ET HERVE DUGUE - ÉLEVAGE DE CHEVAUX;Elevage;;;;La Haute Couparie;72110;;COURCEMONT;;72101;48.1841564;0.3339263;;06 45 38 11 65;02 43 29 78 60;;couparie@gmail.com;;;;Facebook||https://www.facebook.com/EcurieEquiLibreCouparie/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1841564,0.3339263;Sarthe
FRANCK DUBOIS - JUS DE POMME;Produits cidricoles / Jus de fruit;;;;La Martinière;72110;;COURCEMONT;;72101;48.1691771;0.35454219;;06 85 70 41 95;;;casifrem@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1691771,0.35454219;Sarthe
FERME DE LA RAINERIE;;;;;La Rainerie;72140;;MONT-SAINT-JEAN;;72211;48.236921;-0.119791;;;02 43 14 21 45;;larainerie@wanadoo.fr;;;;;;"Activités scientifiques;Agriculture / horticulture / Pêche";Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;||||||02 43 14 21 45||larainerie@wanadoo.fr;non;;;;48.236921,-0.119791;Sarthe
LA CAVE DU CHATAIGNIER;Vins;;;;Le Chataîgnier - LIRE;49530;;OREE D'ANJOU;;49069;47.298664;-1.1453008;;;02 40 09 07 16;;jacques.pineau@orange.fr;http://www.lacaveduchataignier.fr;;;;;Viticulture;;;;;;;;;;oui;oui;oui;;;;;;;;;;;;oui;;;;;oui;;Chèques bancaires et postaux;47.298664,-1.1453008;Maine-et-Loire
REMI COUDRAIN - SCULPTEUR;Sculpture;;;;LE MOULIN;72310;;COGNERS;;72085;47.863725;0.65706099;;06 32 08 99 36;02 43 35 06 56;;remi.coudrain@gmail.fr;http://www.coudrain-sculpteur.com;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;;;;;;;47.863725,0.65706099;Sarthe
PRODUCTEUR MME DESSOMME;"Viande;Volailles / Oeufs";;;;Le Petit Launay RD 347;49800;;LOIRE-AUTHION;;49307;47.456726;-0.398542;;;02 41 54 94 60;;dessrose@hotmail.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.456726,-0.398542;Maine-et-Loire
FERME DU SERAIS;Fromage et produit laitier;;;;Le Serais;53250;;JAVRON-LES-CHAPELLES;;53121;48.3985355;-0.3306304;;;;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;"Chèques bancaires et postaux;Espèces";48.3985355,-0.3306304;Mayenne
LA FERME DES FONTAINES;"Fruits / légumes;Viande";;;;Les Fontaines;53100;;SAINT-GEORGES-BUTTAVENT;;53219;48.289338;-0.758609;;;02 43 00 89 21;;lafermedesfontaines@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;oui;;;;;;;;;;;;;;;;;oui;;;48.289338,-0.758609;Mayenne
PRÉ AU VERT;"Fromage et produit laitier;Fruits / légumes;Volailles / Oeufs";;;;Route de Nort sur Erdre;44150;;ANCENIS-SAINT-GEREON;;44003;47.3745156;-1.202784;;;02 40 98 88 40;;m.desmars@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3745156,-1.202784;Loire-Atlantique
SAFRAN DE VAULOGÉ;;;;;Vaulogé;72110;;SAINT-CELERIN;;72271;48.1105159;0.412086;;06 86 88 40 34;;;contact@safrandevauloge.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1105159,0.412086;Sarthe
HELIMIEL;Produits apicoles;;;;ZA du Plantis Boisseau - DRAIN;49270;;OREE D'ANJOU;;49069;47.3356192;-1.2094641;;06 09 08 82 65;;;info@helimiel.fr;http://www.helimiel.fr/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3356192,-1.2094641;Maine-et-Loire
GAEC DU PRÉ VERT;Fromage et produit laitier;;;1 Lieu-dit La Poterie;;44270;;MACHECOUL-SAINT-MEME;;44087;47.00954;-1.80296;;;;;;;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;Français;;;oui;;;;;;;;47.00954,-1.80296;Loire-Atlantique
LE TEMPS RETROUVÉ;;;;1 Rue Nationale;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72845;0.57381;;07 83 95 00 06;;;henriboillot72@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72845,0.57381;Sarthe
COOPÉRATIVE LA REINETTE FRUITIÈRE;Fruits / légumes;;;10, rue des Moulins;Parçay les Pins;49390;;NOYANT-VILLAGES;;49228;47.4371439;0.1587792;;06 18 93 39 73;02 41 84 11 51;;alchie@reinette.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.4371439,0.1587792;Maine-et-Loire
LA BELLE-ILOISE;Produits du terroir (boutique);;;112 Avenue du Général de Gaulle;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28545;-2.39166;;;02 40 88 77 67;;contact@labelleiloise.fr;http://www.labelleiloise.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;"01/01/2022||31/12/2022||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||;01/01/2022||31/12/2022||Jusqu'à 18h30 le dimanche||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||";;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.28545,-2.39166;Loire-Atlantique
LA MAISON CHARTEAU;;;;12 Kercadoué;;44350;;SAINT-MOLF;;44183;47.40168;-2.41817;;06 75 43 06 31;02 40 62 39 28;;maisoncharteau@orange.fr;https://www.maisoncharteau.com/;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||09:00||12:00||15:00||18:00||09:00||12:00||15:00||18:00||09:00||12:00||15:00||18:00||09:00||12:00||15:00||18:00||09:00||12:00||15:00||18:00||09:00||12:00||15:00||18:00||||||||;;;;;;;47.40168,-2.41817;Loire-Atlantique
SAVONNERIE LUZÀLIE;;;;12 rue du Lévinais;;44350;;GUERANDE;;44069;47.40442;-2.42565;;;06 62 74 07 13;;luzalie.savonnerie@gmail.com;https://www.luzaliesavonnerie.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.40442,-2.42565;Loire-Atlantique
AU JARDIN D'YVONNICK;"Epices / Condiment;Fruits / légumes;Fruits de mer;Pain / Pâtisserie;Produits cidricoles / Jus de fruit;Volailles / Oeufs";;;1226B Route de l'immaculée;;44500;;LA BAULE-ESCOUBLAC;;44055;47.2835;-2.3236;;06 63 82 31 03;;;;;;;;;"Activités de la mer;Agro-alimentaire";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2835,-2.3236;Loire-Atlantique
BRASSERIE O'MALT;Bières;;;125 Haute Roche;;44521;;OUDON;;44115;47.3510218;-1.2629589;;;07 66 10 67 00;;omalt@outlook.fr;http://omalt.fr/;;;"Facebook||https://www.facebook.com/brasserieomalt;Instagram||https://www.instagram.com/microbrasserieomalt/";;Agro-alimentaire;;;;;;;;;;;;;;;;;;;oui;oui;;oui;;oui;;;;;oui;;;47.3510218,-1.2629589;Loire-Atlantique
LA FERME DE MÉZERAC;Fromage et produit laitier;;;146 Mézerac;;44410;;SAINT-LYPHARD;;44175;47.39427;-2.34536;;;02 40 91 49 80;;contact@ferme-mezerac.fr;http://www.ferme-mezerac.fr;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;oui;;;;;;01/01/2022||31/12/2022||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||10:00||12:00||||||||||||;;;;;;;47.39427,-2.34536;Loire-Atlantique
GALERIE ART ET CRÉATIONS;;;;15 rue de la Juiverie;;44350;;GUERANDE;;44069;47.32716;-2.42837;;06 62 30 38 52;02 40 66 13 82;;sandrine@dekerhuel.com;http://www.dekerhuel.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;||||||||10:30||12:30||15:00||19:00||10:30||12:30||15:00||19:00||10:30||12:30||15:00||19:00||10:30||12:30||15:00||19:00||10:30||12:30||15:00||19:00||10:30||12:30||15:00||19:00||10:30||12:30||15:00||19:00;;;;;;;47.32716,-2.42837;Loire-Atlantique
GOURMANDISES PERMISES;Pain / Pâtisserie;;;16 Impasse des Anémones;;53970;;L'HUISSERIE;;53119;48.0232187;-0.768441;;06.74.55.08.92;;;gourmandises.permises@orange.fr;;;;Facebook||https://www.facebook.com/GourmandisesPermises53/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.0232187,-0.768441;Mayenne
LE PALET GOURMAND;"Biscuit;Café;Confiserie / chocolat;Confiture;Epices / Condiment;Foie gras;Produits du terroir (boutique);Rillettes;Spiritueux";;;16 Rue du Marché;;44270;;MACHECOUL-SAINT-MEME;;44087;46.99255;-1.82023;;;02 40 78 55 75;;;https://www.facebook.com/lepaletgourmand.fr/;;;Facebook||https://www.facebook.com/lepaletgourmand.fr/?ref=page_internal;;Agro-alimentaire;;;non;;;;;Français;;;;oui;;;;;;;;;Français;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";46.99255,-1.82023;Loire-Atlantique
ATELIER GALERIE SOPHIA RANCATORE;Bijou;;;17 rue de la Juiverie;intra-muros;44350;;GUERANDE;;44069;47.32711;-2.4283;;;06 52 96 05 91;;contact@sophiarancatore.com;http://sophiarancatore.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||pendant les vacances solaires et sur RDV sauf vacances de février et les 15 premiers jours de juillet||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.32711,-2.4283;Loire-Atlantique
EMPLETTES ET PIPELETTES;"Bières;Bijou;Biscuit;Brioche et viennoiserie;Café;Confiserie / chocolat;Confiture;Cosmétique;Eau;Epices / Condiment;Fromage et produit laitier;Fruits / légumes;Jouet et jeu;Pain / Pâtisserie;Poisson;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Sel;Viande;Vins;Volailles / Oeufs";;;18 Rue de la Mairie;;44690;;MAISDON-SUR-SEVRE;;44088;47.09833;-1.38502;;;02 53 35 20 43;;emplettesetpipelettes@gmail.com;;;;"Facebook||https://www.facebook.com/Emplettes-et-pipelettes-105945471325053/;Instagram||https://www.instagram.com/emplettesetpipelettes/?hl=fr";;"Agro-alimentaire;Artisanat / Art";;;non;;;;;Français;"Muscadet;Muscadets communaux;Muscadet Sèvre-et-Maine";;;;;;;;;;;;Français;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.09833,-1.38502;Loire-Atlantique
LES VERGERS DU LITTORAL;"Bières;Confiserie / chocolat;Epices / Condiment;Fromage et produit laitier;Fruits / légumes;Glace;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Salaisons;Sel;Spiritueux;Viande;Vins;Volailles / Oeufs";;;183 route de Guérande;La Gassun;44410;;HERBIGNAC;;44072;47.43029;-2.33082;;;02 40 88 88 90;02 40 88 89 47;vergers.littoral@wanadoo.fr;http://vergers-du-littoral.com;;;;;"Activités de la mer;Agro-alimentaire";;;non;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||08:30||12:15||14:30||18:30||08:30||12:15||14:30||18:30||08:30||12:15||14:30||18:30||08:30||12:15||14:30||18:30||08:30||12:15||14:30||17:00||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.43029,-2.33082;Loire-Atlantique
GAEC GABORIAU;Viande;;;2 Lieu-dit La Griffraire;;44650;;LEGE;;44081;46.90668;-1.58459;;;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;non;;;;;;;;;;;;oui;;;;;;;;46.90668,-1.58459;Loire-Atlantique
MISS EN SCÈNE;;;;2 route de La Turballe;;44350;;SAINT-MOLF;;44183;47.38376;-2.3994;;06 75 80 78 55;02 51 16 96 83;;missenscene@laposte.net;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||10:00||12:00||14:00||18:00||||||||||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||||||||;;;;;;;47.38376,-2.3994;Loire-Atlantique
SAVONNERIE LES DEMOISELLES;;;;2 rue d'Artois;;44480;;GUERANDE;;44069;47.32756;-2.43016;;;07 81 65 34 62;;savonslesdemoiselles@gmail.com;http://www.savonslesdemoiselles.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32756,-2.43016;Loire-Atlantique
VIGNOBLE DES FORGES;Vins;;;20 impasse des forges;COUTURES;49320;;BRISSAC LOIRE AUBANCE;;49050;47.36303;-0.35537;;06 99 36 46 48;06 66 84 97 22;;info@vignobledesforges.com;http://www.vignobledesforges.com;;;;;Viticulture;;;oui;;;;;Français;"Anjou Blanc;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Crémant de Loire;Rosé de Loire";oui;;oui;;;;;;;;;Français;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.36303,-0.35537;Maine-et-Loire
AU POIDS PLUME - EPICERIE VRAC;"Biscuit;Café;Confiserie / chocolat;Confiture;Cosmétique;Epices / Condiment;Fromage et produit laitier;Fruits / légumes;Huile;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Sel";;;20 Place Alsace Lorraine;Ancenis;44150;;ANCENIS-SAINT-GEREON;;44003;47.365396;-1.177665;;;02 53 87 98 85;;contact@aupoidsplume.fr;;;;"Instagram||https://www.instagram.com/aupoidsplume/;Facebook||https://www.facebook.com/Aupoidsplume/";;Agro-alimentaire;;;;;;;;;;;;oui;;;;;;;;;;;;non;;;;;oui;;"Cartes bancaires;Espèces";47.365396,-1.177665;Loire-Atlantique
ATELIER DE CALLIGRAPHIE ET D'ENLUMINURE;;;;20 rue de Saillé;;44350;;GUERANDE;;44069;47.32689;-2.42949;;;02 40 62 12 97;;contact@atelierguerande.com;http://www.atelierguerande.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32689,-2.42949;Loire-Atlantique
ATELIER HERVÉ NORAS;;;;20 Rue Nationale;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72809;0.57466;;06 76 05 93 79;;;contact@herve-n-sellier.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72809,0.57466;Sarthe
BRASSERIE SEPTANTE-DEUX;Bières;;;21, rue du Docteur Leroy;;72000;;LE MANS;;72181;48.0024286;0.1962607;;;06 66 17 71 50;;brasserie@septantedeux.com;www.brasserieseptantedeux.com;;;Facebook||https://www.facebook.com/septantedeux/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;||||||||||||||||17:00||23:00||||||17:00||23:00||||||17:00||23:00||||||17:00||01:00||||||14:00||01:00||||||||||||;;;;;;;48.0024286,0.1962607;Sarthe
PRODUITS RÉGIONAUX ET SOUVENIRS SÉBASTIEN LIARTE;"Bières;Biscuit;Brioche et viennoiserie;Confiserie / chocolat;Confiture;Epices / Condiment;Fruits / légumes;Pain / Pâtisserie;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Sel;Spiritueux";;;22 Rue de kéroman;;44420;;PIRIAC-SUR-MER;;44125;47.37954;-2.54661;;;02 40 15 59 26;;liarte.maryse@orange.fr;;;;;;"Activités de la mer;Viticulture";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.37954,-2.54661;Loire-Atlantique
BOULANGERIE AU FOURNIL DU VAL DE LOIRE;"Brioche et viennoiserie;Pain / Pâtisserie";;;26 avenue Jeanne d'Arc;MONTJEAN-SUR-LOIRE;49570;;MAUGES-SUR-LOIRE;;49244;47.3837178;-0.858921;;;02 41 39 03 87;;;;;;Facebook||https://www.facebook.com/aufournilduvaldeloire/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;Partenariat||ORGPDL072V50DTVB;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.3837178,-0.858921;Maine-et-Loire
DÉLICES DU LOIR;Produits apicoles;;;263 Chemin des vieux rideaux;Lué-en-Baugeois;49140;;JARZE VILLAGES;;49163;47.527297;-0.277968;;07 60 26 51 20;;;abeille.desboisdelue@laposte.net;;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;oui;;;;;;;;;oui;;;;;;;;;Français;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.527297,-0.277968;Maine-et-Loire
GALERIE DE STREET ART GRAFFITI COMPAGNIE;;;;27 avenue du général Leclerc;;44510;;LE POULIGUEN;;44135;47.27837;-2.42991;;06 07 13 36 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||10:30||12:30||||||||||||||||||||||10:30||12:30||16:00||18:30||10:30||12:30||16:00||18:30||10:30||12:30||||;;;;;;;47.27837,-2.42991;Loire-Atlantique
L'ATELIER DU FERMENT;;;;28 ZA du Grand Chemin;;53970;;L'HUISSERIE;;53119;48.029419;-0.771395;;;02 43 98 07 55;;bonjour@latelierduferment.com;http://latelierduferment.com/;;;"Facebook||https://www.facebook.com/LAtelier-du-Ferment-K%C3%A9fir-de-fruits-188939708378026/;Instagram||https://www.instagram.com/kefirlatelierduferment/;||https://www.linkedin.com/company/l-atelier-du-ferment/?viewAsMember=true";;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;Français;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||10:00||12:00||14:00||17:00||10:00||12:00||14:00||17:00||10:00||12:00||14:00||17:00||||||||||||||||||||||||;;||https://www.latelierduferment.com/collections/all||||02 43 98 07 55||bonjour@latelierduferment.com;oui;oui;;"Chèques bancaires et postaux;Espèces";48.029419,-0.771395;Mayenne
LA FERME DE LA NANTAISE;Volailles / Oeufs;;;280 Chemin de la Nantaise;;44350;;GUERANDE;;44069;47.31325;-2.42581;;;06 23 29 46 29;;ben.thibaudault@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||||||||||||||||||16:00||18:30||||||||||||||||||||;;;;;;;47.31325,-2.42581;Loire-Atlantique
GALERIE TONY ROCFORT;Peinture;;;3 avenue Pavie;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28206;-2.40549;;06 07 77 05 13;02 40 61 01 62;;info@galerie-tony-rocfort.com;https://galerie-tony-rocfort.com;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||ou sur RDV au 06 07 77 05 13||||10:30||12:30||15:30||19:30||10:30||12:30||15:30||19:30||10:30||12:30||15:30||19:30||10:30||12:30||15:30||19:30||10:30||12:30||15:30||19:30||10:30||12:30||15:30||19:30||10:30||12:30||15:30||19:30;;;;;;;47.28206,-2.40549;Loire-Atlantique
LE NATURSEL;;;;3 rue de Bretagne;;44740;;BATZ-SUR-MER;;44010;47.28248;-2.47795;;;09 67 02 32 07;;boutique@lepaludier.com;http://www.lepaludier.com;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;01/09/2021||30/09/2021||||||08:00||12:00||13:00||16:00||08:00||12:00||13:00||16:00||08:00||12:00||13:00||16:00||08:00||12:00||13:00||16:00||08:00||12:00||13:00||16:00||||||||||||||||;;;;;;;47.28248,-2.47795;Loire-Atlantique
DOMAINE DU MANOIR DE LA TÊTE ROUGE;Vins;;;3, Place Jules Raimbault;;49260;;LE PUY-NOTRE-DAME;;49253;47.12782;-0.23721;;06 84 76 72 15;02 41 38 76 43;;accueil@manoirdelateterouge.com;http://www.manoirdelateterouge.com;;;;;Viticulture;Agriculture Biologique (AB);;;;;;;"Allemand;Anglais;Français";;;;;;;;;;;oui;;"Français;Anglais";;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.12782,-0.23721;Maine-et-Loire
GALERIE D'ART MICHEL HILDERAL;;;;32 Rue de la Madeleine;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7304;0.57448;;07 78 84 47 21;;;hilderal13@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.7304,0.57448;Sarthe
